altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
43,"23,3","0,0","18,7","27,9",11,"1,9","6,1","1019,9","1018,2"
25,"25,6","0,0","21,8","29,3",05,"3,9","7,8","1014,6","1011,5"
1893,"18,6","0,0","14,4","22,9",14,"3,9","8,9","824,3","822,7"
870,"17,8","0,0","5,9","29,6",16,"1,1","7,8","927,2","925,0"
1220,"22,3","0,0","18,0","26,6",,,,,
334,"21,9","0,0","13,2","30,6",06,"0,8","5,8",,
273,"26,4","0,0","17,7","35,1",10,"1,1","6,4","991,1","987,3"
98,"19,4","0,0","14,3","24,6",15,"1,9","5,0","1012,2","1008,8"
127,"20,0","0,0","16,6","23,3",10,"3,3","7,8","1010,2","1007,5"
71,"23,6","0,0","19,8","27,5",23,"2,2","6,7","1016,2","1014,5"
632,"26,5","0,0","21,1","31,9",99,"3,6","8,3","949,1","946,8"
249,"24,0","0,0","15,7","32,4",20,"1,4","6,1","995,9","991,9"
36,"29,4","0,0","24,7","34,1",28,"1,7","5,8","1013,0","1010,5"
3,"22,0","0,0","16,8","27,2",12,"3,9","11,1","1023,4","1020,6"
15,"21,6","0,0","15,6","27,6",10,"2,5","6,4","1023,8","1021,6"
28,"27,4","0,0","22,6","32,2",10,"5,6","15,6","1016,7","1014,7"
1140,"20,0","0,0","11,0","29,0",18,"2,5","8,9","898,3","896,6"
513,"24,0","0,0","15,0","32,9",11,"3,1","7,5","965,6","962,2"
580,"21,0","0,0","8,9","33,1",04,"0,8","7,8","960,0","956,4"
143,"22,2","0,1","15,2","29,1",17,"2,8","8,9","1009,5","1007,5"
607,"22,4","0,0","12,2","32,5",04,"2,2","6,1","955,3","952,1"
32,"23,8","0,0","21,5","26,0",08,"11,1","20,3",,
50,"24,4","0,0","18,2","30,6",16,"2,2","7,8","1019,3","1017,1"
40,"19,8","0,0","15,9","23,8",04,"1,1","4,4",,
1131,"20,2","0,0","11,4","29,0",10,"2,2","7,8","900,2","898,6"
8,,"0,0",,,09,"3,1","7,8","1022,8","1020,4"
770,"25,7","0,0","18,7","32,7",,,,"936,9","934,2"
10,"21,2","0,2","18,6","23,7",10,"2,8","6,1","1024,3","1022,2"
62,"24,6","0,0","16,8","32,5",06,"2,8","8,9","1018,3","1014,9"
186,"23,8","0,0","16,9","30,7",24,"1,4","5,0",,
690,"21,1","0,0","11,1","31,1",10,"1,7","9,2","945,8","943,0"
372,"24,0","0,0","14,7","33,3",10,"2,2","9,4",,
291,"24,4","0,0","19,2","29,5",17,"2,2","9,2","991,8","989,1"
992,"18,4","0,0","7,8","29,0",15,"1,1","6,4","914,4","911,5"
130,"27,1","0,0","17,1","37,1",17,"2,8","8,1","1007,5","1003,8"
54,"23,6","0,0","19,6","27,7",12,"1,9","8,9","1017,7","1015,5"
25,"28,0","0,0","23,7","32,3",17,"0,6","3,9","1012,7","1009,3"
720,"18,7","0,6","5,5","31,9",21,"0,8","6,1",,
186,"24,9","0,0","20,4","29,4",12,"4,7","13,9","998,9","996,7"
605,"22,5","0,0","14,1","30,9",11,"1,7","5,8","956,9","954,0"
74,"23,4",,"19,1","27,7",14,"0,8","4,2",,
450,"21,8","0,0","13,4","30,2",,,,,
45,"20,4","0,1","17,8","22,9",11,"0,8","3,3",,
5,"20,9","0,0","18,7","23,1",,,,"1024,7","1022,3"
650,"28,6","0,0","20,8","36,3",16,"1,1","8,1",,
8,,"0,0",,,27,"1,4","8,6","1022,6","1018,8"
840,"18,5","0,0","9,1","27,9",99,"1,7","4,2","930,4","928,1"
400,"20,9","0,0","9,3","32,5",02,"0,0","2,2",,
466,"24,2","0,0","18,1","30,3",22,"1,7","6,7","971,9","969,3"
14,"28,5","0,0","22,0","35,0",06,"3,3","9,7","1015,7","1012,7"
1080,"18,4","0,0","7,1","29,6",18,"1,7","5,8","905,7","903,3"
687,"23,4","0,0","13,2","33,7",19,"6,1","13,6","945,3","942,3"
779,"21,8","0,0","12,1","31,5",07,"0,6","6,1","938,0","935,3"
531,"23,6","0,0","12,8","34,4",,,,,
643,"21,8","0,0","12,5","31,1",07,"2,2","7,5","952,3","949,7"
862,"26,0","0,0","18,3","33,6",12,"3,1","12,5","927,5","924,8"
1480,"17,6","0,0","12,6","22,5",19,"2,5","10,6",,
52,"19,4","0,0","17,2","21,7",09,"2,8","6,1","1018,7","1016,8"
21,"26,8","0,0","20,4","33,2",07,"5,6","12,5","1021,1","1018,5"
4,"19,4","0,0","15,6","23,2",04,"2,5","5,0","1024,8","1022,9"
183,"22,3","0,0","14,6","30,0",13,"0,0","2,2",,
1450,"19,0","0,0","12,7","25,2",19,"1,7","5,8",,
19,"23,6","0,0","20,7","26,4",10,"3,3","11,1","1022,8","1020,7"
675,"21,0",,"13,9","28,0",,,,,
12,"23,0","0,0","18,4","27,5",10,"1,7","9,2",,
804,"24,2","0,0","15,8","32,6",14,"2,5","8,6",,
38,"20,9","0,1","16,7","25,1",08,"2,2","4,7","1020,9","1018,6"
52,"23,1","0,0","20,7","25,5",99,"3,1","6,7","1016,6","1014,4"
15,,"0,0",,,19,"1,1","5,3","1014,9","1012,3"
10,"27,4",,"24,4","30,4",27,"3,1","7,8",,
60,"19,2","0,0","16,8","21,7",08,"2,5","7,8","1017,5","1014,5"
447,"25,8","0,0","16,1","35,4",16,"1,1","5,6","972,3","969,1"
228,"26,0","0,0","15,7","36,4",02,"2,5","8,3",,
459,"20,9","0,0","11,4","30,4",03,"1,4","4,7","973,7","970,5"
146,"22,9","0,0","13,0","32,8",19,"0,6","2,8",,
546,"23,3","0,0","15,6","31,0",25,"1,1","6,4","962,2","959,0"
51,"19,6","0,0","17,8","21,4",09,"2,8","7,2","1018,9","1016,5"
1025,"21,1","0,0","14,2","28,0",23,"2,8","12,2","910,4","908,4"
444,"25,0","0,0","16,3","33,8",12,"2,2","9,4","971,4","968,5"
680,"22,2","0,0","10,8","33,6",16,"1,7","10,0","946,6","943,9"
17,"24,7","0,0","19,3","30,1",04,"0,3","5,3",,
580,"28,6","0,0","23,7","33,6",17,"3,1","10,8","957,5","954,8"
18,"25,8","0,0","18,2","33,3",17,"2,8","7,5","1019,0","1016,2"
33,"27,2","0,0","23,2","31,2",34,"3,3","5,8","1012,1","1009,5"
353,"20,7","0,0","11,3","30,1",99,"1,4","5,0","983,8","980,2"
42,"21,1","0,0","15,6","26,6",26,"2,5","6,1","1021,4","1018,8"
727,"23,4","0,0","14,1","32,6",19,"1,4","5,3","942,2","939,3"
572,"27,4","0,0","21,0","33,9",14,"2,5","10,8","956,8","954,5"
662,"22,2","0,0","12,1","32,3",02,"1,7","4,7","949,6","946,6"
640,"21,6","0,0","10,8","32,4",30,"1,7","7,8","952,9","950,6"
807,"22,1","0,0","14,0","30,2",99,"1,9","7,8",,
90,"17,8","0,0","16,0","19,6",12,"8,3","15,0","1013,6","1010,6"
56,"23,0","0,0","16,2","29,8",04,"2,8","9,2","1017,8","1015,7"
620,"24,4","0,0","16,4","32,4",23,"1,9","5,6","954,5","951,3"
4,"22,2","0,0","18,0","26,5",,,,,
258,"24,3","0,0","15,7","32,9",34,"1,1","4,2","995,8","991,9"
4,"19,6","0,0","15,7","23,5",99,"2,5","5,0","1024,8","1022,9"
40,"23,0","0,0","15,9","30,2",05,"2,5","7,8","1021,9","1020,1"
3,"25,3","0,0","18,6","32,0",08,"1,1","5,8","1020,9","1018,5"
551,"24,8","0,0","14,6","35,1",12,"1,4","8,3","960,4","957,3"
1020,"17,6","0,0","7,8","27,3",14,"1,4","5,8","911,5","909,2"
820,"22,0","0,0","13,7","30,3",01,"1,4","8,6",,
64,"32,0","0,0","25,6","38,5",99,"5,8","9,7","1008,1","1005,4"
630,"25,2","0,0","16,6","33,9",10,"1,7","9,2",,
23,,"0,0",,,,,,,
846,"20,8","0,0","11,2","30,3",13,"2,2","6,1","929,8","927,4"
513,"20,4",Ip,"8,9","31,8",99,"1,4","6,7","967,1","964,1"
90,"19,8","0,2","16,6","23,0",36,"1,9","4,2",,
869,"21,8","0,0","14,3","29,4",08,"2,5","9,2","926,7","924,6"
41,"23,8","0,0","18,0","29,7",08,"2,2","6,4","1017,1","1014,3"
490,"20,0","0,0","12,1","27,8",28,"0,3","4,2",,
702,"21,9","0,0","12,3","31,5",15,"3,1","11,1","945,3","942,7"
912,"20,0","0,0","11,3","28,7",20,"1,4","7,2","922,6","920,4"
572,"20,9","0,0","12,0","29,8",10,"0,6","3,6",,
15,"30,5","0,0","25,4","35,6",08,"3,3","12,5","1016,7","1013,7"
11,"23,8","0,0","18,9","28,6",10,"1,4","5,8",,
750,"25,9","0,0","18,4","33,4",13,"2,2","7,5","938,8","936,2"
850,"18,4","0,0","6,9","29,8",01,"0,8","5,8","930,0","927,2"
830,"19,2","0,0","8,6","29,8",,,,"932,8","930,3"
1062,"17,4","0,0","5,6","29,1",19,"1,7","5,3","907,9","904,8"
57,"19,6","0,0","15,5","23,7",13,"1,7","4,7","1016,9","1013,2"
157,"22,4","0,0","15,9","28,8",10,"1,4","6,1",,
616,"17,8","0,0","4,5","31,0",12,"1,9","9,2",,
269,"24,7","0,0","15,1","34,3",05,"2,8","9,2","992,3","988,6"
100,"20,8","0,0","12,4","29,3",09,"2,2","7,5",,
626,"20,0","0,0","11,6","28,5",99,"1,1","3,3",,
3,"24,0","0,0","20,7","27,4",20,"1,1","5,8","1024,9","1022,9"
513,"20,7","0,1","10,0","31,4",99,"1,4","6,7","966,5","964,9"
2,"26,1","0,0","22,7","29,5",12,"7,8","15,3","1020,1","1018,0"
690,"23,8","0,0","16,0","31,5",99,"1,7","5,3","946,9","944,0"
575,"21,4","0,0","10,7","32,0",22,"1,4","6,7",,
28,"21,1","0,0","16,7","25,5",,,,,
240,,"0,0",,,02,"0,6","4,2",,
1005,"18,1","0,0","6,3","29,9",21,"0,6","6,4",,
1004,"23,5","0,0","19,0","28,0",17,"0,6","8,9","913,4","911,8"
8,"21,8","0,0","16,3","27,4",23,"2,8","8,3","1025,0","1023,0"
90,"25,9","0,0","14,2","37,6",21,"2,5","8,9","1011,9","1007,3"
677,"20,6",,"10,5","30,6",23,"0,3","5,8",,
255,"21,2",Ip,"12,7","29,8",22,"1,9","5,8","993,6","990,5"
87,"26,6","0,0","16,9","36,2",16,"1,9","5,8","1010,8","1007,7"
75,"24,2","0,0","15,7","32,6",10,"1,9","8,9","1016,7","1013,5"
381,"26,8","0,0","17,7","35,8",12,"3,1","8,6","978,1","975,2"
408,"24,6","0,0","19,4","29,7",15,"1,7","11,7","975,0","972,6"
55,,"0,0",,,19,"1,9","6,7",,
3,,"0,0",,,11,"2,2","5,3","1023,6","1021,0"
313,"26,2","0,0","18,0","34,3",09,"2,8","11,1","987,0","983,9"
21,"26,0","0,0","18,9","33,2",09,"5,3","13,3","1017,9","1015,6"
91,"21,8","0,0","17,2","26,4",99,"2,2","7,2","1015,5","1013,9"
4,"23,2","0,0","19,7","26,7",21,"3,3","8,3","1024,5","1022,7"
250,"19,7","0,0","16,9","22,5",35,"1,9","3,6","995,1","993,5"
26,"24,2","0,0","19,3","29,0",15,"1,4","5,8","1020,8","1019,0"
1161,"18,8","0,0","10,5","27,1",22,"1,1","6,1",,
62,"26,8","0,0","20,9","32,8",15,"1,1","5,3","1009,3","1006,7"
763,"22,2","0,0","14,5","29,8",14,"0,8","5,3","938,2","935,6"
6,,"0,0",,,07,"6,9","11,1",,
1798,"18,8","0,0","14,5","23,1",17,"4,2","9,2","833,3","831,6"
902,"21,6","0,0","11,4","31,9",18,"1,4","6,1","924,5","921,1"
312,"24,1","0,0","15,5","32,7",05,"0,6","6,7",,
3,"19,8","0,2","16,4","23,3",05,"0,8","7,2","1025,9","1023,4"
700,"24,5","0,0","15,2","33,8",05,"1,1","7,2","944,4","941,4"
100,"20,0","0,0","18,0","22,0",11,"4,2","12,5",,
1008,"22,6","0,0","15,3","29,8",12,"2,5","5,8","912,5","910,2"
540,"22,2","0,0","10,9","33,5",10,"0,8","6,1",,
775,"22,6","0,0","12,5","32,7",03,"1,1","6,1","936,5","933,1"
32,"29,6","0,0","24,0","35,2",19,"3,6","10,3","1013,4","1010,6"
24,"29,0","0,0","23,6","34,3",99,"3,1","7,8","1012,4","1009,5"
891,"19,6","0,0","8,7","30,5",20,"2,2","7,2","925,4","922,9"
408,"23,0","0,0","18,8","27,2",,,,,
728,"22,2","0,0","13,4","31,1",,,,"942,3","939,8"
202,"25,1","0,0","13,0","37,2",10,"0,6","6,1","999,8","995,6"
1532,"19,8","0,0","16,0","23,6",09,"2,8","7,2","859,6","857,8"
913,"25,1","0,0","21,1","29,1",11,"2,2","8,6","920,5","919,0"
1030,"19,6","0,0","10,0","29,2",22,"1,4","5,0","913,4","911,0"
550,"23,2","0,0","13,6","32,9",14,"1,7","8,9","959,5","957,5"
884,"20,4","0,0","9,9","30,9",05,"1,4","7,2","926,6","923,6"
674,"22,6","0,0","13,5","31,8",12,"0,8","8,1","949,4","947,1"
370,"19,6",Ip,"8,8","30,5",14,"0,8","4,2","981,5","979,0"
880,"23,4","0,0","15,6","31,3",15,"3,9","8,9","925,8","923,5"
655,"27,2","0,0","20,5","33,8",13,"4,4","11,1","948,7","946,4"
790,"19,6","0,0","9,7","29,4",14,"0,3","5,3","936,5","933,5"
415,"27,3","0,0","20,5","34,1",10,"1,9","9,4",,
6,"24,0","0,0","21,4","26,5",08,"1,7","5,3",,
758,"21,0","0,0","11,7","30,3",13,"1,9","7,5","939,8","937,1"
1030,"20,4","0,0","17,6","23,3",19,"0,8","5,6",,
664,,"0,0",,,05,"1,1","5,8",,
230,"21,8","0,0","14,6","29,1",03,"2,8","8,6","996,8","993,3"
27,"26,0","0,0","17,3","34,6",99,"2,5","7,2","1017,9","1014,9"
656,"22,4","0,0","12,1","32,7",05,"1,4","3,9","950,6","947,0"
917,"24,3","0,0","18,1","30,5",06,"0,6","3,9",,
1960,"16,4","0,0","12,8","20,1",07,"4,2","9,2","816,0","814,5"
93,"20,0","0,0","17,5","22,5",12,"1,9","6,9",,
57,"25,4","0,0","21,9","28,9",16,"1,4","5,6",,
300,"23,6","0,0","15,8","31,3",,,,"989,4","987,1"
734,"22,3","0,0","13,2","31,4",19,"0,8","4,4","942,1","938,9"
6,"22,5","0,0","17,7","27,3",08,"2,2","6,1","1023,2","1021,3"
790,"20,2","0,0","7,6","32,8",99,"2,2","7,2","934,9","931,8"
1081,"20,2","0,0","10,4","30,1",07,"1,4","4,4","905,2","902,9"
81,"22,0","0,0","16,0","28,0",08,"1,7","5,6","1015,6","1013,7"
4,"23,1","0,1","18,8","27,4",08,"3,9","7,8","1025,0","1022,5"
26,"20,3","0,0","16,0","24,6",02,"1,4","6,7","1022,1","1019,3"
119,"21,2","0,0","15,9","26,4",,,,"1011,7","1009,3"
50,"18,0","0,0","12,9","23,2",09,"1,9","6,9",,
265,"23,6","0,0","14,0","33,2",12,"3,1","7,8",,
295,"22,3","0,0","12,8","31,8",32,"0,8","4,2","991,0","987,2"
1130,"20,0","0,0","11,2","28,9",12,"1,4","6,7","899,3","897,6"
626,"23,4","0,0","14,3","32,4",02,"1,4","5,6","952,2","950,2"
1699,"16,8","0,0","9,3","24,2",15,"1,7","8,1","842,0","840,4"
609,"22,5","0,0","12,5","32,5",26,"1,7","4,7","958,7","955,3"
11,"23,8","0,0","18,9","28,6",,,,,
760,"26,4","0,0","18,1","34,7",10,"2,5","7,8",,
15,"30,0","0,0","25,0","35,1",,,,"1014,5","1012,0"
442,"20,3","0,0","11,6","29,0",35,"0,8","2,5","973,6","970,7"
43,"22,0","0,0","16,9","27,0",99,"2,8","7,2","1021,5","1019,5"
949,"22,0","0,0","12,5","31,5",25,"1,4","6,1","918,9","916,5"
532,"20,2","0,0","9,6","30,7",11,"1,4","5,6","963,3","959,2"
34,"28,0","0,0","18,7","37,4",07,"2,5","8,9","1017,6","1013,9"
2369,"15,9","0,0","12,1","19,7",17,"5,3","12,8","775,8","774,1"
692,,"0,0",,,16,"0,8","6,1","939,0","938,8"
1530,"18,2","0,0","12,8","23,6",16,"1,1","8,6","859,3","857,7"
394,"26,6","0,0","18,7","34,6",06,"2,2","8,3","977,7","974,8"
113,"20,9","0,0","11,0","30,8",05,"1,1","5,8","1010,0","1006,2"
667,"24,0",,"18,0","30,1",04,"1,7","6,7","949,1","946,2"
1510,"15,7",,"6,3","25,1",05,"1,1","5,8",,
185,"25,6","0,0","14,8","36,4",99,"2,2","7,5","999,8","995,8"
6,"22,8","0,0","18,1","27,5",15,"2,5","8,3","1023,0","1020,9"
567,"23,2","0,0","11,4","34,9",14,"4,4","13,9","958,9","955,3"
87,"23,7","0,0","21,2","26,2",06,"3,3","7,2","1012,9","1011,0"
208,"21,0","0,0","15,2","26,9",,,,"1000,9","998,1"
769,"23,6",,"14,3","32,9",07,"2,5","7,5","936,9","934,4"
115,"28,6","0,0","24,1","33,1",10,"3,1","6,9","1002,1","1000,0"
410,"26,6","0,0","18,4","34,9",19,"3,9","11,1","975,0","972,7"
808,"26,1","0,0","19,1","33,1",13,"2,2","6,9","932,2","930,2"
582,"22,0","0,0","11,3","32,7",03,"1,4","5,3","958,8","955,0"
17,"23,3","0,0","19,5","27,1",14,"1,4","4,7","1022,9","1021,2"
88,"25,0","0,0","20,1","29,9",35,"1,9","6,7","1015,1","1012,2"
715,"20,7","0,0","10,3","31,1",36,"1,1","5,3","943,5","941,3"
874,"21,6","0,0","12,6","30,6",24,"3,3","6,9",,
43,"23,6","0,0","19,6","27,7",14,"1,9","5,3","1020,2","1018,6"
25,"27,8","0,0","23,7","31,8",99,"5,0","10,8","1013,3","1010,3"
1893,"18,2","0,0","13,9","22,5",99,"3,3","8,9","823,7","822,1"
870,"19,0","0,0","8,0","30,1",18,"1,1","6,4","926,7","924,2"
1220,"21,2","0,0","17,1","25,4",,,,,
334,"21,2","0,0","12,6","29,9",07,"1,1","4,7",,
273,"26,0","0,0","16,7","35,3",12,"1,1","6,1","990,9","988,3"
98,"24,6","0,0","15,4","33,9",14,"2,5","10,3","1009,8","1007,2"
127,"22,1","0,0","15,1","29,1",20,"3,3","10,3","1007,6","1005,3"
71,"22,8","0,0","18,2","27,4",22,"2,8","7,8","1016,6","1014,8"
632,"27,9","0,0","23,3","32,5",11,"4,2","10,8","947,6","945,6"
249,"23,1","0,0","15,6","30,6",23,"1,4","5,0","995,6","991,9"
36,"29,6","0,0","25,8","33,5",99,"1,9","5,0","1011,5","1009,4"
3,"22,5","0,0","17,0","28,0",11,"4,4","11,9","1022,9","1020,2"
15,"22,3","0,0","16,8","27,8",06,"2,2","8,3","1023,8","1022,0"
28,"28,4","0,0","23,9","32,9",14,"5,8","15,0","1016,8","1013,8"
1140,"21,6","0,0","13,4","29,7",18,"2,2","8,3","897,9","896,2"
513,"23,9","0,0","14,8","33,0",11,"2,2","7,2","965,1","962,2"
580,"21,1","0,0","8,8","33,4",03,"0,6","3,9","959,4","955,8"
143,"22,0",Ip,"14,4","29,7",17,"1,9","8,3","1009,8","1007,6"
607,"21,8","0,0","11,9","31,7",03,"1,7","5,6","954,9","951,3"
32,"23,8","0,0","21,6","25,9",09,"10,6","19,7",,
50,"25,2","0,0","20,0","30,3",15,"1,9","6,9","1019,7","1017,4"
40,"23,0","0,0","15,6","30,3",19,"1,9","7,2",,
1131,"19,3","0,0","10,8","27,8",14,"2,8","8,6","899,8","898,3"
8,,"0,0",,,07,"1,4","4,7","1022,8","1019,9"
770,"25,1","0,0","18,8","31,4",,,,"936,8","934,6"
10,"20,8","0,0","16,2","25,4",08,"1,4","4,4","1022,3","1019,4"
62,"24,3","0,0","18,2","30,4",06,"3,1","8,6","1018,4","1015,5"
186,"23,9","0,0","17,0","30,8",18,"1,1","4,2","1002,5","999,0"
690,"22,0","0,0","12,4","31,5",20,"2,2","11,7","945,4","943,0"
372,"23,4","0,0","14,6","32,3",09,"1,1","7,5",,
291,"23,6","0,0","18,2","28,9",21,"2,5","8,9","991,9","989,2"
992,"18,3","0,0","8,5","28,1",08,"0,8","8,1","914,4","911,4"
130,"27,2","0,0","17,7","36,6",16,"3,1","9,2","1007,3","1004,7"
54,"23,5","0,0","18,5","28,5",14,"1,9","7,5","1017,8","1015,0"
25,"30,2","0,0","25,3","35,0",16,"1,4","4,7","1010,8","1008,0"
720,"19,0","0,0","5,0","33,0",24,"0,3","5,8",,
186,"24,4","0,0","20,1","28,7",11,"4,4","13,1","999,3","996,6"
605,"22,1","0,0","14,5","29,7",08,"1,4","5,8","956,9","954,1"
74,"23,0",,"18,8","27,3",13,"0,8","4,4",,
450,"21,4","0,0","13,3","29,4",,,,,
45,"21,8","0,0","17,4","26,3",12,"1,7","5,8",,
5,"19,6","0,0","15,9","23,4",,,,"1022,4","1019,9"
650,"28,4","0,0","21,7","35,0",26,"2,8","8,1",,
8,,"0,0",,,27,"1,7","8,1","1022,4","1019,3"
840,"20,8","0,0","12,1","29,4",17,"1,4","6,7","929,4","927,9"
400,"22,4","0,0","10,8","33,9",07,"0,6","3,3",,
466,"23,0","0,0","15,6","30,4",03,"1,4","6,4","971,7","969,1"
14,"30,4","0,0","25,6","35,3",04,"4,7","12,5","1014,6","1011,5"
1080,"18,8","0,0","7,6","30,1",23,"0,8","6,9","904,9","902,9"
687,"23,2","0,0","13,7","32,8",19,"4,4","10,3","945,2","943,2"
779,"21,0","0,0","11,0","31,1",08,"0,6","5,3","938,0","935,4"
531,"23,0","0,0","12,3","33,6",,,,,
643,"21,0","0,0","12,0","30,1",08,"1,4","6,7","952,2","949,9"
862,"25,7","0,0","18,7","32,7",08,"3,3","10,6","927,3","924,9"
1480,"18,8","0,0","14,2","23,3",19,"2,5","9,2",,
52,"20,0","0,0","17,2","22,7",10,"4,2","7,8","1018,4","1015,0"
21,"27,8","0,0","21,2","34,5",99,"7,5","12,8","1020,9","1018,9"
4,"21,8","0,0","15,7","28,0",35,"1,9","5,0","1024,0","1020,6"
183,"21,9","0,0","13,2","30,6",99,"0,0","1,7",,
1450,"19,6","0,0","14,3","24,8",17,"1,7","6,1",,
19,"24,0","0,0","21,1","26,8",11,"3,1","7,5","1022,9","1020,3"
675,"20,2",,"12,3","28,0",,,,,
12,"23,1","0,0","19,3","26,9",07,"1,7","7,5",,
804,"24,6","0,0","17,6","31,6",15,"2,2","7,8",,
38,"20,7","0,0","15,3","26,1",20,"1,9","4,4","1018,9","1016,0"
52,"23,4","0,0","20,7","26,0",08,"3,1","7,5","1016,5","1014,4"
15,,"0,0",,,16,"0,6","7,5","1013,3","1011,1"
10,"29,8",,"24,1","35,5",12,"2,8","14,2",,
60,"21,2","0,0","16,6","25,8",15,"2,5","6,9","1014,5","1012,6"
447,"24,1","0,0","14,0","34,2",35,"1,4","5,3","972,3","969,7"
228,"25,2","0,0","14,6","35,7",06,"2,2","6,7",,
459,"20,6","0,0","11,2","30,0",04,"1,1","3,6","973,4","970,2"
146,"23,6","0,0","11,9","35,3",12,"0,6","5,8",,
546,"22,2","0,0","15,5","29,0",08,"1,7","5,3","962,0","959,4"
51,"19,9","0,0","17,2","22,6",08,"3,9","9,2","1017,1","1013,7"
1025,"21,3","0,0","14,2","28,4",23,"2,8","8,1","910,2","908,4"
444,"25,2","0,0","17,2","33,3",13,"1,9","9,2","971,0","968,7"
680,"21,8","0,0","10,9","32,7",15,"1,7","8,1","946,1","944,2"
17,"24,8","0,0","20,8","28,7",04,"0,0","5,3",,
580,"28,3","0,0","23,6","33,0",18,"2,8","10,0","957,5","955,3"
18,"25,5","0,0","18,6","32,4",17,"3,1","7,2","1019,0","1016,6"
33,"28,1","0,0","23,5","32,7",29,"3,1","6,7","1010,5","1008,6"
353,"19,1","0,0","10,0","28,2",99,"1,1","5,8","983,4","980,3"
42,"24,8",Ip,"16,4","33,3",05,"1,9","7,2","1020,3","1015,9"
727,"22,6","0,0","13,6","31,6",26,"0,8","4,4","941,8","939,4"
572,"27,6","0,0","20,8","34,5",16,"2,2","10,3","956,9","954,7"
662,"22,7","0,0","12,4","33,0",12,"2,5","10,8","949,2","946,3"
640,"21,4","0,0","11,6","31,1",21,"2,2","7,2","952,7","950,3"
807,"22,2","0,0","14,6","29,7",17,"1,7","8,1",,
56,"22,4","0,0","16,7","28,0",99,"2,2","6,7","1018,2","1016,2"
620,"23,9","0,0","16,4","31,4",24,"1,1","6,1","954,3","951,7"
4,"23,5","0,0","20,0","27,0",,,,,
258,"23,8","0,0","15,8","31,9",08,"1,7","5,0","995,5","991,9"
4,"21,8","0,0","15,5","28,0",99,"1,9","5,0","1024,0","1020,6"
40,"22,2","0,0","15,9","28,5",02,"1,7","7,2","1021,5","1019,8"
3,"25,0","0,0","18,9","31,0",12,"0,8","6,1","1020,7","1018,3"
551,"24,3","0,0","14,8","33,8",99,"1,9","7,2","960,1","957,8"
1020,"18,6","0,0","9,1","28,2",15,"1,1","5,3","910,8","908,9"
820,"21,1","0,0","13,3","28,9",08,"2,2","6,7",,
64,"31,5","0,0","25,2","37,8",99,"4,4","13,3","1006,8","1004,3"
630,"24,6","0,0","15,4","33,8",06,"1,7","8,9",,
23,,"0,0",,,,,,,
846,"20,7","0,0","11,0","30,4",24,"2,8","6,1","928,9","927,2"
513,"21,4","0,1","10,8","32,1",04,"1,1","5,0","966,5","963,3"
90,"23,7","0,0","16,6","30,8",14,"2,2","5,6",,
869,"21,6","0,0","13,9","29,4",06,"1,4","8,6","926,7","924,7"
41,"24,7","0,0","18,7","30,7",35,"1,9","5,3","1016,8","1014,1"
490,"19,6","0,0","12,2","27,1",22,"0,3","4,2",,
113,"25,4","0,0","18,2","32,7",07,"1,1","5,8","1007,5","1004,9"
702,"21,4","0,0","11,9","30,9",17,"2,8","6,9","945,3","942,8"
912,"21,4","0,0","13,3","29,6",99,"1,7","5,0","921,8","920,1"
572,"21,4","0,0","11,9","30,9",12,"1,1","5,0",,
15,"30,6","0,0","25,7","35,5",06,"4,4","16,1","1015,6","1012,5"
11,"22,9","0,0","18,7","27,1",11,"1,1","5,8",,
750,"25,9","0,0","19,3","32,5",12,"2,2","6,1","938,5","936,5"
850,"19,0","0,0","7,7","30,3",99,"0,8","4,2","929,1","927,0"
830,"20,6","0,0","10,7","30,5",,,,"931,8","930,0"
1062,"17,4","0,0","5,6","29,1",15,"0,8","4,2","907,4","904,6"
57,"26,4","0,0","19,5","33,4",14,"1,4","6,1","1014,3","1011,6"
157,"21,6","0,0","13,9","29,4",09,"0,8","6,1",,
616,"18,9","0,0","6,4","31,4",13,"1,4","8,1",,
269,"23,2","0,0","13,7","32,7",06,"1,9","8,9","992,5","989,3"
100,"23,0","0,0","13,3","32,6",06,"1,4","6,1",,
626,"19,6","0,0","11,3","27,8",20,"1,4","3,6",,
3,"24,4","0,0","20,2","28,5",20,"0,8","6,1","1024,5","1022,3"
513,"21,6","0,0","11,4","31,7",04,"1,1","5,0","965,8","963,7"
2,"26,9","0,0","24,1","29,7",12,"8,3","16,4","1019,9","1017,6"
690,"23,6","0,0","16,4","30,9",36,"1,4","4,7","946,7","944,4"
575,"20,4","0,0","10,9","29,8",19,"1,7","7,2",,
28,"21,0","0,0","17,0","25,1",,,,,
240,"24,6","0,0","17,0","32,3",03,"0,6","4,7",,
1005,"18,0","0,0","6,5","29,5",21,"0,6","6,1",,
1004,"23,2","0,0","18,4","27,9",06,"0,6","3,6","913,1","911,8"
8,"22,1",Ip,"16,5","27,7",23,"3,3","8,9","1024,5","1022,5"
90,"24,8","0,0","13,3","36,4",22,"1,9","7,2","1011,7","1008,4"
677,"19,8",,"9,1","30,6",23,"0,3","4,4",,
255,"24,2","0,0","17,1","31,4",20,"2,2","7,8","991,5","989,2"
87,"26,6","0,0","16,5","36,6",25,"1,9","6,4","1011,2","1008,3"
