altitud,tmed,prec,tmin,tmax,dir,velmedia,racha,presMax,presMin
444,"25,1","0,0","16,8","33,4",17,"1,9","6,7","971,3","968,2"
680,"23,2","0,0","12,7","33,7",16,"2,2","8,3","945,8","943,0"
17,"25,6","0,0","19,4","31,8",18,"0,6","4,4",,
580,"28,8","0,0","23,9","33,6",12,"3,1","10,0","957,3","954,0"
18,"25,4","0,0","16,9","33,8",21,"2,5","8,3","1019,1","1016,0"
33,"24,4","0,0","22,0","26,8",02,"3,3","7,8","1014,6","1012,5"
353,"22,3","0,0","13,2","31,4",10,"1,7","5,8","982,0","978,2"
42,"24,7","0,0","17,1","32,3",99,"2,8","6,7","1017,1","1014,8"
727,"23,5","0,0","14,2","32,8",27,"0,6","5,3","941,4","938,1"
572,"27,4","0,0","19,8","35,0",12,"2,2","6,4","957,0","954,0"
662,"22,9","0,0","11,2","34,6",08,"2,5","10,3","948,8","945,2"
640,"21,7","0,0","10,9","32,5",15,"1,4","6,4","952,3","949,1"
807,"24,0","0,0","14,9","33,0",16,"1,7","8,3",,
90,"19,0","0,0","17,7","20,3",28,"4,4","10,0","1011,0","1007,5"
56,"24,4","0,0","16,4","32,3",99,"3,1","8,9","1016,2","1013,1"
620,"24,5","0,0","16,4","32,6",14,"1,4","5,3","953,8","950,1"
4,"21,5","0,0","14,5","28,5",,,,,
258,"25,8","0,0","16,6","35,0",13,"1,1","4,2","994,0","989,6"
4,"23,7","0,0","15,4","32,0",09,"1,9","7,2","1020,7","1018,9"
40,"23,6","0,0","16,1","31,1",03,"1,9","7,5","1019,9","1018,0"
3,"24,6","0,0","17,3","32,0",13,"1,4","6,1","1021,0","1018,0"
551,"24,9","0,0","15,3","34,5",16,"0,8","5,8","960,2","956,5"
1020,"20,1","0,0","11,2","29,0",19,"1,7","6,7","910,0","907,3"
820,"23,1","0,0","14,4","31,8",07,"1,4","6,9",,
64,"26,2","0,0","21,8","30,5",99,"6,1","12,8","1010,1","1007,9"
630,"26,2","0,0","16,3","36,2",10,"1,1","6,9",,
23,,"0,0",,,,,,,
846,"21,2","0,0","11,5","30,9",26,"2,2","6,7","928,5","925,6"
513,"21,5","0,0","8,5","34,5",03,"1,7","6,7","965,1","961,3"
90,"23,2","0,0","18,7","27,7",14,"1,7","5,3",,
869,"21,8","0,0","14,1","29,5",06,"2,2","8,6","926,5","923,4"
41,"24,4","0,0","18,0","30,8",08,"2,5","6,1","1017,2","1014,0"
490,"21,5","0,0","12,4","30,6",08,"0,3","4,7",,
113,"23,1","0,0","17,8","28,4",06,"1,1","6,1","1007,0","1005,1"
702,"23,3","0,0","14,9","31,7",15,"3,1","8,6","944,6","941,6"
912,"22,0","0,0","14,4","29,7",26,"1,7","7,8","921,2","918,2"
572,"22,5","0,0","12,7","32,3",99,"1,1","4,7",,
15,"27,8","0,0","23,6","32,0",13,"3,1","7,5","1018,0","1015,0"
11,"24,4","0,0","18,4","30,3",02,"1,4","6,9",,
750,"25,8","0,0","18,2","33,5",19,"1,7","5,8","938,5","935,3"
830,"20,2","0,0","9,7","30,8",,,,"931,3","928,5"
1062,"18,4","0,0","6,8","29,9",32,"0,8","5,8","906,9","903,5"
57,"20,2","0,0","18,1","22,3",32,"1,9","5,3","1014,3","1011,3"
157,"23,1","0,0","15,6","30,6",10,"1,4","6,1",,
616,"20,6","0,0","8,7","32,4",11,"1,4","8,6",,
269,"25,0","0,0","15,4","34,5",07,"1,7","8,9","991,8","987,2"
100,"22,7","0,0","15,0","30,4",10,"1,1","5,6",,
626,"21,0","0,0","12,5","29,6",20,"1,1","4,4",,
3,"25,0","0,0","19,8","30,3",24,"1,7","7,8","1022,9","1020,2"
513,"21,8","0,0","10,0","33,7",03,"1,7","6,7","964,6","961,9"
2,"26,1","0,0","22,7","29,5",12,"7,5","15,3","1020,7","1017,4"
690,"24,3","0,0","16,4","32,2",08,"0,8","4,7","946,2","942,8"
575,"21,3","0,0","10,9","31,7",23,"1,1","6,9",,
28,"22,8","0,0","18,3","27,3",,,,,
240,"24,0","0,0","17,3","30,7",27,"1,7","5,6",,
1005,"18,6","0,0","6,9","30,4",23,"0,8","6,4",,
1004,"23,6","0,0","18,8","28,5",21,"0,8","5,3","912,6","910,3"
8,"22,4","0,0","15,4","29,4",23,"3,9","10,3","1022,9","1020,5"
90,"26,2","0,0","15,6","36,8",05,"1,1","6,1","1012,2","1007,0"
677,,,,,,"0,0",,,
255,"24,0","0,0","18,1","29,8",24,"2,2","6,1","991,2","989,2"
87,"26,4","0,0","16,2","36,7",26,"0,3","5,0","1011,1","1007,1"
75,"24,6","0,0","14,9","34,2",17,"1,9","7,2","1015,7","1012,3"
381,"26,4","0,0","16,1","36,8",29,"3,1","8,3","978,5","974,8"
408,"25,4","0,0","20,4","30,5",12,"3,1","11,1","975,2","971,7"
55,,"0,0",,,32,"3,1","8,9",,
3,,"0,0",,,01,"1,4","4,2","1024,0","1020,3"
313,"26,2","0,0","18,3","34,2",12,"1,4","8,9","986,7","982,9"
21,"25,6","0,0","17,5","33,8",99,"3,9","13,9","1018,3","1015,1"
91,"23,7","0,1","17,6","29,8",11,"3,1","8,3","1013,5","1011,7"
4,"23,2","0,0","19,9","26,6",04,"4,7","9,2","1023,4","1021,3"
250,"23,7","0,0","20,0","27,4",18,"3,3","6,9","991,5","990,0"
26,"24,6","0,0","19,0","30,2",12,"1,9","6,7","1020,4","1017,7"
420,"24,6","0,0","16,7","32,4",07,"0,6","3,6","972,5","970,2"
1161,,,,,,"1,1",,,
62,"24,4","0,0","21,1","27,8",29,"1,4","4,4","1011,7","1009,7"
763,"22,8","0,0","14,1","31,4",13,"0,8","5,0","937,5","934,4"
6,,"0,0",,,05,"1,7","6,9",,
1798,"19,1","0,0","14,7","23,5",20,"3,9","10,6","832,6","830,8"
902,"21,3","0,0","9,6","33,0",08,"1,7","6,9","923,5","919,5"
312,"24,0","0,0","14,7","33,4",04,"0,6","5,8",,
3,"22,6","0,2","16,4","28,7",35,"1,1","5,6","1021,3","1018,9"
700,"25,0","0,0","15,4","34,6",05,"1,7","6,1","943,8","940,3"
100,"20,6","0,4","18,6","22,6",28,"3,9","13,9",,
1008,"23,4","0,0","16,5","30,3",22,"2,8","7,5","911,4","908,9"
540,"23,0","0,0","11,5","34,4",08,"0,8","4,2",,
775,"24,2","0,0","14,0","34,3",27,"0,8","5,8","935,3","931,9"
32,"25,6","0,0","23,6","27,7",99,"5,3","9,7","1015,8","1013,4"
24,"26,0","0,0","22,9","29,2",01,"7,2","12,8","1013,9","1011,1"
891,"20,5","0,0","8,9","32,1",24,"1,7","7,8","923,8","921,1"
408,"24,0","0,0","20,3","27,7",,,,,
728,"22,6","0,0","13,5","31,6",,,,"941,7","938,7"
334,"23,6","0,0","18,0","29,1",,,,"982,9","980,2"
202,"25,2","0,0","13,2","37,3",10,"0,6","5,3","999,4","994,6"
1532,"19,8","0,0","16,1","23,6",12,"3,1","6,9","858,9","856,7"
913,"23,7","0,0","17,9","29,5",99,"1,7","7,8","920,8","918,1"
1030,"19,6","0,0","9,7","29,4",15,"1,1","5,0","912,7","909,7"
550,"23,4","0,0","14,5","32,4",13,"1,4","8,6","959,8","957,0"
884,"21,6","0,0","10,3","32,8",09,"1,9","6,1","925,5","921,9"
674,"23,2","0,0","14,4","32,1",99,"0,8","5,8","948,7","945,8"
370,"24,0","0,0","17,7","30,3",24,"2,2","9,2","979,2","976,8"
880,"24,2","0,0","16,0","32,3",21,"2,5","6,9","925,3","922,3"
655,"26,4","0,0","18,2","34,5",17,"3,3","14,4","948,8","945,9"
790,"21,3","0,0","10,8","31,8",23,"0,8","5,8","935,0","931,6"
415,"28,7","0,0","22,9","34,5",11,"1,9","8,6",,
6,"23,9","0,0","21,3","26,5",08,"3,6","6,1",,
758,"21,4","0,0","11,2","31,7",18,"2,5","5,3","938,9","935,8"
1030,"22,0","0,0","19,5","24,6",33,"3,1","8,6",,
664,,"0,0",,,08,"0,8","5,0",,
230,"21,6","0,0","16,6","26,6",17,"3,6","11,7","994,0","991,2"
27,"25,4","0,0","14,5","36,4",18,"1,4","7,8","1017,9","1014,5"
656,"23,8","0,0","14,4","33,2",35,"0,8","4,2","949,1","945,3"
917,"25,4","0,0","19,0","31,7",12,"0,3","4,4",,
1960,"17,2","0,0","12,9","21,6",14,"3,3","8,6","815,7","813,8"
93,"22,1","0,0","17,9","26,3",24,"3,3","8,6",,
57,"26,4","0,0","22,7","30,2",35,"0,3","3,9",,
300,"24,0","0,0","15,9","32,1",,,,"989,4","985,9"
734,"23,2","0,0","13,6","32,7",99,"1,1","3,9","940,6","937,0"
6,"22,6","0,0","16,7","28,5",25,"1,9","6,7","1022,0","1019,5"
790,"21,8","0,0","8,8","34,8",02,"2,2","10,8","933,7","930,4"
1081,"21,3","0,0","10,8","31,8",28,"0,6","4,2","904,0","901,2"
81,"24,9","0,0","17,4","32,4",15,"1,4","5,3","1014,4","1012,0"
4,"22,8","0,0","15,8","29,7",99,"2,5","4,2","1024,1","1021,3"
26,"19,2","0,0","14,3","24,0",33,"1,9","5,8","1018,3","1015,4"
119,"24,0","0,0","15,9","32,1",,,,"1008,0","1005,5"
50,"19,0","0,0","16,6","21,3",03,"1,4","6,7",,
265,,"0,0",,,,,,,
295,"23,8","0,0","14,0","33,7",09,"1,4","5,6","989,2","985,0"
1130,"20,6","0,0","11,4","29,9",13,"1,9","7,8","898,6","896,0"
626,"23,8","0,0","14,4","33,2",33,"1,1","3,6","952,4","948,8"
1699,"19,0","0,0","11,6","26,4",16,"1,7","8,6","841,4","840,0"
609,"22,9","0,0","12,9","32,9",99,"1,1","5,8","958,0","954,1"
11,"24,4","0,0","18,4","30,3",,,,,
760,"26,5","0,0","17,1","35,9",12,"1,7","8,6",,
